Year_Month,Card_type,Line,Trip
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,115
Feb-19,Employee,Newcastle Light Rail,5
Feb-19,Senior/Pensioner,Newcastle Light Rail,1025
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,76
Feb-19,Free Travel,Newcastle Light Rail,26
Feb-19,Adult,Newcastle Light Rail,2520
Feb-19,CTP,Newcastle Light Rail,333
Feb-19,Child/Youth,Newcastle Light Rail,692
Feb-19,Concession,Newcastle Light Rail,91
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,32
Feb-19,Employee,Newcastle Light Rail,24
Feb-19,Senior/Pensioner,Newcastle Light Rail,1124
Feb-19,School Student,Newcastle Light Rail,77
Feb-19,Free Travel,Newcastle Light Rail,26
Feb-19,Adult,Newcastle Light Rail,2045
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,6
Feb-19,CTP,Newcastle Light Rail,91
Feb-19,Child/Youth,Newcastle Light Rail,104
Feb-19,Concession,Newcastle Light Rail,145
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,34
Feb-19,Employee,Newcastle Light Rail,16
Feb-19,Senior/Pensioner,Newcastle Light Rail,973
Feb-19,School Student,Newcastle Light Rail,62
Feb-19,Free Travel,Newcastle Light Rail,14
Feb-19,Adult,Newcastle Light Rail,2279
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,5
Feb-19,CTP,Newcastle Light Rail,129
Feb-19,Child/Youth,Newcastle Light Rail,159
Feb-19,Concession,Newcastle Light Rail,315
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,48
Feb-19,Employee,Newcastle Light Rail,22
Feb-19,Senior/Pensioner,Newcastle Light Rail,1237
Feb-19,School Student,Newcastle Light Rail,63
Feb-19,Free Travel,Newcastle Light Rail,26
Feb-19,Adult,Newcastle Light Rail,2422
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,5
Feb-19,CTP,Newcastle Light Rail,167
Feb-19,Child/Youth,Newcastle Light Rail,138
Feb-19,Concession,Newcastle Light Rail,166
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,54
Feb-19,Employee,Newcastle Light Rail,14
Feb-19,Senior/Pensioner,Newcastle Light Rail,1175
Feb-19,School Student,Newcastle Light Rail,82
Feb-19,Free Travel,Newcastle Light Rail,27
Feb-19,Adult,Newcastle Light Rail,2450
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,4
Feb-19,CTP,Newcastle Light Rail,132
Feb-19,Child/Youth,Newcastle Light Rail,169
Feb-19,Concession,Newcastle Light Rail,360
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,41
Feb-19,Employee,Newcastle Light Rail,19
Feb-19,Senior/Pensioner,Newcastle Light Rail,1112
Feb-19,School Student,Newcastle Light Rail,84
Feb-19,Free Travel,Newcastle Light Rail,29
Feb-19,Adult,Newcastle Light Rail,2402
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,6
Feb-19,CTP,Newcastle Light Rail,159
Feb-19,Child/Youth,Newcastle Light Rail,191
Feb-19,Concession,Newcastle Light Rail,345
Feb-19,Day Pass without SAF,Newcastle Light Rail,1
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,40
Feb-19,Employee,Newcastle Light Rail,17
Feb-19,Senior/Pensioner,Newcastle Light Rail,1124
Feb-19,School Student,Newcastle Light Rail,59
Feb-19,Free Travel,Newcastle Light Rail,35
Feb-19,Adult,Newcastle Light Rail,2134
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,10
Feb-19,CTP,Newcastle Light Rail,131
Feb-19,Child/Youth,Newcastle Light Rail,127
Feb-19,Concession,Newcastle Light Rail,166
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,102
Feb-19,Employee,Newcastle Light Rail,24
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,107
Feb-19,Employee,Newcastle Light Rail,9
Feb-19,Senior/Pensioner,Newcastle Light Rail,1231
Feb-19,School Student,Newcastle Light Rail,80
Feb-19,Free Travel,Newcastle Light Rail,24
Feb-19,Senior/Pensioner,Newcastle Light Rail,776
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,78
Feb-19,Free Travel,Newcastle Light Rail,24
Feb-19,Adult,Newcastle Light Rail,2381
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,10
Feb-19,Adult,Newcastle Light Rail,2343
Feb-19,CTP,Newcastle Light Rail,207
Feb-19,Child/Youth,Newcastle Light Rail,128
Feb-19,CTP,Newcastle Light Rail,346
Feb-19,Concession,Newcastle Light Rail,170
Feb-19,Child/Youth,Newcastle Light Rail,555
Feb-19,Concession,Newcastle Light Rail,121
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,25
Feb-19,Employee,Newcastle Light Rail,11
Feb-19,Senior/Pensioner,Newcastle Light Rail,1036
Feb-19,School Student,Newcastle Light Rail,82
Feb-19,Free Travel,Newcastle Light Rail,26
Feb-19,Adult,Newcastle Light Rail,2331
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,12
Feb-19,CTP,Newcastle Light Rail,128
Feb-19,Child/Youth,Newcastle Light Rail,155
Feb-19,Concession,Newcastle Light Rail,329
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,60
Feb-19,Employee,Newcastle Light Rail,16
Feb-19,Senior/Pensioner,Newcastle Light Rail,1101
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,13
Feb-19,Free Travel,Newcastle Light Rail,27
Feb-19,School Student,Newcastle Light Rail,52
Feb-19,Adult,Newcastle Light Rail,2794
Feb-19,CTP,Newcastle Light Rail,234
Feb-19,Child/Youth,Newcastle Light Rail,191
Feb-19,Concession,Newcastle Light Rail,197
Feb-19,Senior/Pensioner,Newcastle Light Rail,1
Mar-19,Senior/Pensioner,Newcastle Light Rail,984
Mar-19,School Student,Newcastle Light Rail,68
Mar-19,Free Travel,Newcastle Light Rail,14
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,18
Mar-19,Adult,Newcastle Light Rail,1988
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,2
Mar-19,CTP,Newcastle Light Rail,170
Mar-19,Child/Youth,Newcastle Light Rail,126
Mar-19,Concession,Newcastle Light Rail,422
Mar-19,Employee,Newcastle Light Rail,10
Mar-19,Senior/Pensioner,Newcastle Light Rail,837
Mar-19,Free Travel,Newcastle Light Rail,10
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,69
Mar-19,Adult,Newcastle Light Rail,2163
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,64
Mar-19,CTP,Newcastle Light Rail,267
Mar-19,Child/Youth,Newcastle Light Rail,549
Mar-19,Concession,Newcastle Light Rail,118
Mar-19,Employee,Newcastle Light Rail,11
Mar-19,Adult,Newcastle Light Rail,2034
Mar-19,CTP,Newcastle Light Rail,132
Mar-19,Child/Youth,Newcastle Light Rail,178
Mar-19,Concession,Newcastle Light Rail,350
Mar-19,Senior/Pensioner,Newcastle Light Rail,895
Mar-19,School Student,Newcastle Light Rail,52
Mar-19,Free Travel,Newcastle Light Rail,23
Mar-19,Employee,Newcastle Light Rail,13
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,29
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,3
Mar-19,Adult,Newcastle Light Rail,1878
Mar-19,CTP,Newcastle Light Rail,111
Mar-19,Child/Youth,Newcastle Light Rail,107
Mar-19,Concession,Newcastle Light Rail,376
Mar-19,Senior/Pensioner,Newcastle Light Rail,842
Mar-19,School Student,Newcastle Light Rail,53
Mar-19,Free Travel,Newcastle Light Rail,17
Mar-19,Employee,Newcastle Light Rail,19
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,17
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,11
Mar-19,Day Pass without SAF,Newcastle Light Rail,1
Mar-19,Senior/Pensioner,Newcastle Light Rail,580
Mar-19,Free Travel,Newcastle Light Rail,10
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,101
Mar-19,Adult,Newcastle Light Rail,1322
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,67
Mar-19,CTP,Newcastle Light Rail,177
Mar-19,Child/Youth,Newcastle Light Rail,324
Mar-19,Concession,Newcastle Light Rail,84
Mar-19,Employee,Newcastle Light Rail,9
Mar-19,Day Pass without SAF,Newcastle Light Rail,3
Mar-19,Senior/Pensioner,Newcastle Light Rail,1068
Mar-19,School Student,Newcastle Light Rail,78
Mar-19,Free Travel,Newcastle Light Rail,20
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,55
Mar-19,Adult,Newcastle Light Rail,2675
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,22
Mar-19,CTP,Newcastle Light Rail,270
Mar-19,Child/Youth,Newcastle Light Rail,212
Mar-19,Concession,Newcastle Light Rail,274
Mar-19,Employee,Newcastle Light Rail,17
Mar-19,Day Pass without SAF,Newcastle Light Rail,1
Mar-19,Senior/Pensioner,Newcastle Light Rail,904
Mar-19,School Student,Newcastle Light Rail,79
Mar-19,Free Travel,Newcastle Light Rail,25
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,35
Mar-19,Adult,Newcastle Light Rail,2381
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,11
Mar-19,CTP,Newcastle Light Rail,231
Mar-19,Child/Youth,Newcastle Light Rail,264
Mar-19,Concession,Newcastle Light Rail,359
Mar-19,Employee,Newcastle Light Rail,22
Mar-19,Senior/Pensioner,Newcastle Light Rail,780
Mar-19,Free Travel,Newcastle Light Rail,15
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,69
Mar-19,Adult,Newcastle Light Rail,1623
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,49
Mar-19,CTP,Newcastle Light Rail,113
Mar-19,Child/Youth,Newcastle Light Rail,333
Mar-19,Concession,Newcastle Light Rail,64
Mar-19,Senior/Pensioner,Newcastle Light Rail,647
Mar-19,Free Travel,Newcastle Light Rail,9
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,93
Mar-19,Adult,Newcastle Light Rail,1437
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,54
Mar-19,CTP,Newcastle Light Rail,153
Mar-19,Child/Youth,Newcastle Light Rail,278
Mar-19,Concession,Newcastle Light Rail,67
Mar-19,Employee,Newcastle Light Rail,3
Mar-19,Adult,Newcastle Light Rail,2067
Mar-19,CTP,Newcastle Light Rail,122
Mar-19,Child/Youth,Newcastle Light Rail,119
Mar-19,Concession,Newcastle Light Rail,318
Mar-19,Senior/Pensioner,Newcastle Light Rail,860
Mar-19,School Student,Newcastle Light Rail,69
Mar-19,Free Travel,Newcastle Light Rail,14
Mar-19,Day Pass without SAF,Newcastle Light Rail,2
Mar-19,Employee,Newcastle Light Rail,13
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,33
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,6
Mar-19,Senior/Pensioner,Newcastle Light Rail,657
Mar-19,Free Travel,Newcastle Light Rail,12
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,74
Mar-19,Adult,Newcastle Light Rail,1750
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,52
Mar-19,CTP,Newcastle Light Rail,255
Mar-19,Child/Youth,Newcastle Light Rail,396
Mar-19,Concession,Newcastle Light Rail,149
Mar-19,Employee,Newcastle Light Rail,6
Mar-19,Adult,Newcastle Light Rail,2223
Mar-19,CTP,Newcastle Light Rail,156
Mar-19,Child/Youth,Newcastle Light Rail,223
Mar-19,Concession,Newcastle Light Rail,475
Mar-19,Senior/Pensioner,Newcastle Light Rail,1367
Mar-19,School Student,Newcastle Light Rail,50
Mar-19,Free Travel,Newcastle Light Rail,22
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,47
Mar-19,Employee,Newcastle Light Rail,21
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,2
Mar-19,Senior/Pensioner,Newcastle Light Rail,748
Mar-19,Free Travel,Newcastle Light Rail,20
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,76
Mar-19,Adult,Newcastle Light Rail,1753
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,39
Mar-19,CTP,Newcastle Light Rail,128
Mar-19,Child/Youth,Newcastle Light Rail,438
Mar-19,Concession,Newcastle Light Rail,102
Mar-19,Employee,Newcastle Light Rail,15
Mar-19,Senior/Pensioner,Newcastle Light Rail,569
Mar-19,Free Travel,Newcastle Light Rail,8
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,110
Mar-19,Adult,Newcastle Light Rail,2192
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,25
Mar-19,CTP,Newcastle Light Rail,332
Mar-19,Child/Youth,Newcastle Light Rail,227
Mar-19,Concession,Newcastle Light Rail,168
Mar-19,Employee,Newcastle Light Rail,23
Mar-19,Adult,Newcastle Light Rail,2280
Mar-19,CTP,Newcastle Light Rail,163
Mar-19,Child/Youth,Newcastle Light Rail,133
Mar-19,Concession,Newcastle Light Rail,406
Mar-19,Senior/Pensioner,Newcastle Light Rail,897
Mar-19,School Student,Newcastle Light Rail,64
Mar-19,Free Travel,Newcastle Light Rail,18
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,24
Mar-19,Employee,Newcastle Light Rail,14
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,6
Mar-19,Day Pass without SAF,Newcastle Light Rail,3
Mar-19,Senior/Pensioner,Newcastle Light Rail,1513
Mar-19,School Student,Newcastle Light Rail,47
Mar-19,Free Travel,Newcastle Light Rail,40
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,25
Mar-19,Adult,Newcastle Light Rail,2155
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,8
Mar-19,CTP,Newcastle Light Rail,138
Mar-19,Child/Youth,Newcastle Light Rail,106
Mar-19,Concession,Newcastle Light Rail,398
Mar-19,Employee,Newcastle Light Rail,12
Mar-19,Adult,Newcastle Light Rail,1849
Mar-19,CTP,Newcastle Light Rail,104
Mar-19,Child/Youth,Newcastle Light Rail,78
Mar-19,Concession,Newcastle Light Rail,401
Mar-19,Day Pass Child/Youth w/o SAF,Newcastle Light Rail,1
Mar-19,Senior/Pensioner,Newcastle Light Rail,689
Mar-19,School Student,Newcastle Light Rail,48
Mar-19,Free Travel,Newcastle Light Rail,15
Mar-19,Employee,Newcastle Light Rail,10
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,20
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,3
Mar-19,Senior/Pensioner,Newcastle Light Rail,1030
Mar-19,School Student,Newcastle Light Rail,69
Mar-19,Free Travel,Newcastle Light Rail,31
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,29
Mar-19,Adult,Newcastle Light Rail,2040
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,5
Mar-19,CTP,Newcastle Light Rail,168
Mar-19,Child/Youth,Newcastle Light Rail,110
Mar-19,Concession,Newcastle Light Rail,410
Mar-19,Employee,Newcastle Light Rail,9
Mar-19,Senior/Pensioner,Newcastle Light Rail,816
Mar-19,School Student,Newcastle Light Rail,76
Mar-19,Free Travel,Newcastle Light Rail,30
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,28
Mar-19,Adult,Newcastle Light Rail,2291
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,5
Mar-19,CTP,Newcastle Light Rail,153
Mar-19,Child/Youth,Newcastle Light Rail,118
Mar-19,Concession,Newcastle Light Rail,345
Mar-19,Employee,Newcastle Light Rail,10
Mar-19,Senior/Pensioner,Newcastle Light Rail,532
Mar-19,Free Travel,Newcastle Light Rail,10
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,77
Mar-19,Adult,Newcastle Light Rail,1560
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,68
Mar-19,CTP,Newcastle Light Rail,223
Mar-19,Child/Youth,Newcastle Light Rail,360
Mar-19,Concession,Newcastle Light Rail,144
Mar-19,Employee,Newcastle Light Rail,5
Mar-19,Senior/Pensioner,Newcastle Light Rail,1118
Mar-19,School Student,Newcastle Light Rail,56
Mar-19,Free Travel,Newcastle Light Rail,28
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,58
Mar-19,Adult,Newcastle Light Rail,2699
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,25
Mar-19,CTP,Newcastle Light Rail,237
Mar-19,Child/Youth,Newcastle Light Rail,146
Mar-19,Concession,Newcastle Light Rail,322
Mar-19,Employee,Newcastle Light Rail,23
Mar-19,Senior/Pensioner,Newcastle Light Rail,748
Mar-19,Free Travel,Newcastle Light Rail,20
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,84
Mar-19,Adult,Newcastle Light Rail,1585
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,58
Mar-19,CTP,Newcastle Light Rail,144
Mar-19,Child/Youth,Newcastle Light Rail,510
Mar-19,Concession,Newcastle Light Rail,86
Mar-19,Employee,Newcastle Light Rail,12
Mar-19,Senior/Pensioner,Newcastle Light Rail,1095
Mar-19,School Student,Newcastle Light Rail,74
Mar-19,Free Travel,Newcastle Light Rail,23
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,26
Mar-19,Senior/Pensioner,Newcastle Light Rail,1197
Mar-19,School Student,Newcastle Light Rail,65
Mar-19,Free Travel,Newcastle Light Rail,22
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,15
Mar-19,Day Pass without SAF,Newcastle Light Rail,2
Mar-19,Adult,Newcastle Light Rail,2100
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,11
Mar-19,CTP,Newcastle Light Rail,145
Mar-19,Adult,Newcastle Light Rail,2140
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,2
Mar-19,CTP,Newcastle Light Rail,160
Mar-19,Child/Youth,Newcastle Light Rail,178
Mar-19,Concession,Newcastle Light Rail,409
Mar-19,Employee,Newcastle Light Rail,13
Mar-19,Child/Youth,Newcastle Light Rail,135
Mar-19,Concession,Newcastle Light Rail,393
Mar-19,Employee,Newcastle Light Rail,14
Mar-19,Adult,Newcastle Light Rail,2072
Mar-19,CTP,Newcastle Light Rail,114
Mar-19,Child/Youth,Newcastle Light Rail,90
Mar-19,Concession,Newcastle Light Rail,503
Mar-19,Senior/Pensioner,Newcastle Light Rail,933
Mar-19,School Student,Newcastle Light Rail,56
Mar-19,Free Travel,Newcastle Light Rail,37
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,29
Mar-19,Employee,Newcastle Light Rail,3
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,3
Mar-19,Senior/Pensioner,Newcastle Light Rail,1036
Mar-19,School Student,Newcastle Light Rail,87
Mar-19,Free Travel,Newcastle Light Rail,21
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,31
Mar-19,Adult,Newcastle Light Rail,2578
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,14
Mar-19,CTP,Newcastle Light Rail,218
Mar-19,Child/Youth,Newcastle Light Rail,184
Mar-19,Concession,Newcastle Light Rail,372
Mar-19,Employee,Newcastle Light Rail,14
Mar-19,Senior/Pensioner,Newcastle Light Rail,596
Mar-19,Free Travel,Newcastle Light Rail,16
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,73
Mar-19,Adult,Newcastle Light Rail,2183
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,28
Mar-19,CTP,Newcastle Light Rail,301
Mar-19,Child/Youth,Newcastle Light Rail,269
Mar-19,Concession,Newcastle Light Rail,133
Mar-19,Employee,Newcastle Light Rail,5
Mar-19,Senior/Pensioner,Newcastle Light Rail,1070
Mar-19,School Student,Newcastle Light Rail,62
Mar-19,Free Travel,Newcastle Light Rail,32
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,53
Mar-19,Adult,Newcastle Light Rail,2503
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,31
Mar-19,CTP,Newcastle Light Rail,190
Mar-19,Child/Youth,Newcastle Light Rail,184
Mar-19,Concession,Newcastle Light Rail,416
Mar-19,Employee,Newcastle Light Rail,18
Mar-19,Senior/Pensioner,Newcastle Light Rail,985
Mar-19,School Student,Newcastle Light Rail,77
Mar-19,Free Travel,Newcastle Light Rail,21
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,19
Mar-19,Adult,Newcastle Light Rail,2116
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,6
Mar-19,CTP,Newcastle Light Rail,146
Mar-19,Child/Youth,Newcastle Light Rail,258
Mar-19,Concession,Newcastle Light Rail,418
Mar-19,Employee,Newcastle Light Rail,10
Mar-19,Adult,Newcastle Light Rail,2113
Mar-19,CTP,Newcastle Light Rail,148
Mar-19,Child/Youth,Newcastle Light Rail,68
Mar-19,Concession,Newcastle Light Rail,438
Mar-19,Senior/Pensioner,Newcastle Light Rail,983
Mar-19,School Student,Newcastle Light Rail,54
Mar-19,Free Travel,Newcastle Light Rail,22
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,16
Mar-19,Employee,Newcastle Light Rail,14
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,2
Mar-19,Senior/Pensioner,Newcastle Light Rail,1060
Mar-19,School Student,Newcastle Light Rail,45
Mar-19,Free Travel,Newcastle Light Rail,29
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,40
Mar-19,Adult,Newcastle Light Rail,2004
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,12
Mar-19,CTP,Newcastle Light Rail,164
Mar-19,Child/Youth,Newcastle Light Rail,84
Mar-19,Concession,Newcastle Light Rail,412
Mar-19,Employee,Newcastle Light Rail,7
Apr-19,Sgl Trip LR Adult,Newcastle Light Rail,59
Apr-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,47
Apr-19,Employee,Newcastle Light Rail,4
Apr-19,Senior/Pensioner,Newcastle Light Rail,503
Apr-19,Concession,Newcastle Light Rail,51
Apr-19,Free Travel,Newcastle Light Rail,13
Apr-19,Child/Youth,Newcastle Light Rail,254
Apr-19,CTP,Newcastle Light Rail,117
Apr-19,Adult,Newcastle Light Rail,1165
Apr-19,Sgl Trip LR Adult,Newcastle Light Rail,70
Apr-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,56
Apr-19,Employee,Newcastle Light Rail,11
Apr-19,Senior/Pensioner,Newcastle Light Rail,889
Apr-19,Concession,Newcastle Light Rail,77
Apr-19,Free Travel,Newcastle Light Rail,7
Apr-19,Child/Youth,Newcastle Light Rail,413
Apr-19,CTP,Newcastle Light Rail,142
Apr-19,Adult,Newcastle Light Rail,1723
Apr-19,Sgl Trip LR Adult,Newcastle Light Rail,38
Apr-19,Employee,Newcastle Light Rail,11
Apr-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,41
Apr-19,Senior/Pensioner,Newcastle Light Rail,1069
Apr-19,Concession,Newcastle Light Rail,135
Apr-19,Free Travel,Newcastle Light Rail,26
Apr-19,Child/Youth,Newcastle Light Rail,649
Apr-19,CTP,Newcastle Light Rail,238
Apr-19,Adult,Newcastle Light Rail,2313
Apr-19,Employee,Newcastle Light Rail,8
Apr-19,Sgl Trip LR Adult,Newcastle Light Rail,71
Apr-19,Senior/Pensioner,Newcastle Light Rail,721
Apr-19,Free Travel,Newcastle Light Rail,13
Apr-19,Adult,Newcastle Light Rail,1485
Apr-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,47
Apr-19,CTP,Newcastle Light Rail,221
Apr-19,Child/Youth,Newcastle Light Rail,280
Apr-19,Concession,Newcastle Light Rail,137
Apr-19,Employee,Newcastle Light Rail,15
Apr-19,Sgl Trip LR Adult,Newcastle Light Rail,23
Apr-19,Senior/Pensioner,Newcastle Light Rail,854
Apr-19,School Student,Newcastle Light Rail,63
Apr-19,Free Travel,Newcastle Light Rail,17
Apr-19,Adult,Newcastle Light Rail,2344
Apr-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,8
Apr-19,CTP,Newcastle Light Rail,254
Apr-19,Child/Youth,Newcastle Light Rail,130
Apr-19,Concession,Newcastle Light Rail,394
Apr-19,Sgl Trip LR Adult,Newcastle Light Rail,106
Apr-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,88
Apr-19,Employee,Newcastle Light Rail,9
Apr-19,Senior/Pensioner,Newcastle Light Rail,849
Apr-19,Concession,Newcastle Light Rail,160
Apr-19,Free Travel,Newcastle Light Rail,12
Apr-19,Sgl Trip LR Adult,Newcastle Light Rail,90
Apr-19,Child/Youth,Newcastle Light Rail,455
Apr-19,Employee,Newcastle Light Rail,8
Apr-19,Senior/Pensioner,Newcastle Light Rail,562
Apr-19,Free Travel,Newcastle Light Rail,7
Apr-19,CTP,Newcastle Light Rail,387
Apr-19,Adult,Newcastle Light Rail,1308
Apr-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,37
Apr-19,Adult,Newcastle Light Rail,1954
Apr-19,CTP,Newcastle Light Rail,119
Apr-19,Child/Youth,Newcastle Light Rail,343
Apr-19,Concession,Newcastle Light Rail,79
Apr-19,Employee,Newcastle Light Rail,8
Apr-19,Sgl Trip LR Adult,Newcastle Light Rail,10
Apr-19,Day Pass without SAF,Newcastle Light Rail,1
Apr-19,Senior/Pensioner,Newcastle Light Rail,683
Apr-19,School Student,Newcastle Light Rail,41
Apr-19,Free Travel,Newcastle Light Rail,15
Apr-19,Adult,Newcastle Light Rail,1837
Apr-19,CTP,Newcastle Light Rail,121
Apr-19,Child/Youth,Newcastle Light Rail,88
Apr-19,Concession,Newcastle Light Rail,377
Apr-19,Sgl Trip LR Adult,Newcastle Light Rail,36
Apr-19,Employee,Newcastle Light Rail,18
Apr-19,Senior/Pensioner,Newcastle Light Rail,683
Apr-19,Free Travel,Newcastle Light Rail,13
Apr-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,40
Apr-19,Adult,Newcastle Light Rail,1338
Apr-19,CTP,Newcastle Light Rail,99
Apr-19,Child/Youth,Newcastle Light Rail,359
Apr-19,Concession,Newcastle Light Rail,84
Apr-19,Employee,Newcastle Light Rail,10
Apr-19,Sgl Trip LR Adult,Newcastle Light Rail,25
Apr-19,Senior/Pensioner,Newcastle Light Rail,1026
Apr-19,School Student,Newcastle Light Rail,62
Apr-19,Free Travel,Newcastle Light Rail,20
Apr-19,Adult,Newcastle Light Rail,2175
Apr-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,4
Apr-19,CTP,Newcastle Light Rail,171
Apr-19,Child/Youth,Newcastle Light Rail,139
Apr-19,Concession,Newcastle Light Rail,444
Apr-19,Employee,Newcastle Light Rail,15
Apr-19,Sgl Trip LR Adult,Newcastle Light Rail,30
Apr-19,Senior/Pensioner,Newcastle Light Rail,909
Apr-19,School Student,Newcastle Light Rail,61
Apr-19,Free Travel,Newcastle Light Rail,22
Apr-19,Adult,Newcastle Light Rail,2036
Apr-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,2
Apr-19,CTP,Newcastle Light Rail,176
Apr-19,Child/Youth,Newcastle Light Rail,87
Apr-19,Concession,Newcastle Light Rail,399
Apr-19,Employee,Newcastle Light Rail,8
Apr-19,Sgl Trip LR Adult,Newcastle Light Rail,64
Apr-19,Senior/Pensioner,Newcastle Light Rail,999
Apr-19,Free Travel,Newcastle Light Rail,19
Apr-19,Adult,Newcastle Light Rail,2141
Apr-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,56
Apr-19,CTP,Newcastle Light Rail,153
Apr-19,Child/Youth,Newcastle Light Rail,609
